loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2429,12.354487419128418,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.969344139099121,0.46684072601700594,54.5478,105.284,13.163,,,,,
0.988,4.3174052238464355,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.078676462173462,0.7366133085941284,52.7238,108.926,13.618,,,,,
0.7623,6.715132713317871,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,0.8961952924728394,0.7898331045812742,52.6984,108.979,13.625,,,,,
0.6414,2.3252127170562744,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,0.8802741765975952,0.7900722516035315,52.3798,109.642,13.708,,,,,
0.5299,1.5998406410217285,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,0.6977462768554688,0.8344299890341581,52.7331,108.907,13.616,,,,,
0.4566,5.895491123199463,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,0.7548754811286926,0.8285220226013179,52.5894,109.204,13.653,,,,,
0.3867,8.28397274017334,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,0.5592415928840637,0.8477314343811946,52.6864,109.003,13.628,,,,,
0.3483,2.4610586166381836,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,0.5840684771537781,0.8547967208925223,52.5774,109.229,13.656,,,,,
0.3025,7.779428005218506,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,0.5686314105987549,0.852652415827134,52.5645,109.256,13.659,,,,,
0.2706,5.116786003112793,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,0.4924297630786896,0.8589127923046921,52.5031,109.384,13.675,,,,,
0.2359,12.097941398620605,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,0.5787028670310974,0.8580131269569681,52.7569,108.858,13.61,,,,,
0.1963,3.756885528564453,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,0.5006192326545715,0.859829086379135,52.7359,108.901,13.615,,,,,
0.1628,6.550236701965332,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,0.5817232728004456,0.8619567755643313,52.5555,109.275,13.662,,,,,
0.141,3.0700912475585938,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,0.5094398856163025,0.854407015218145,52.6683,109.041,13.632,,,,,
0.1146,1.3338758945465088,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,0.4816378057003021,0.8707172763085801,52.6956,108.985,13.625,,,,,
0.1004,1.9368407726287842,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,0.5268243551254272,0.8646513396023677,52.7793,108.812,13.604,,,,,
0.0912,6.177059173583984,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,0.4812313914299011,0.8715821912268127,52.7563,108.859,13.61,,,,,
0.0764,2.8977272510528564,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,0.4933287799358368,0.8663976405930891,52.8298,108.708,13.591,,,,,
0.0658,7.096889019012451,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,0.48063164949417114,0.8684289482829027,52.5822,109.219,13.655,,,,,
0.0573,1.8973205089569092,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,0.47728386521339417,0.8680433482272963,52.5459,109.295,13.664,,,,,
,,,20.0,7480,,,,,,2914.4167,20.519,2.567,3207853629583200.0,0.3585389208666144
