loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2327,5.963098049163818,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.6719770431518555,0.4726906455497287,17.1974,333.945,41.75,,,,,
1.1732,0.939848780632019,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.4905825853347778,0.47632905948723026,16.4034,350.11,43.771,,,,,
1.1499,1.0924179553985596,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,1.5387380123138428,0.48227376131723926,18.0573,318.042,39.762,,,,,
1.1269,2.703162670135498,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,1.589639663696289,0.4931316718721009,17.5902,326.489,40.818,,,,,
1.1142,1.4980555772781372,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,1.3814120292663574,0.5040538009996838,16.7505,342.855,42.864,,,,,
1.107,5.579196453094482,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,1.537023663520813,0.5102284385971441,16.8073,341.696,42.719,,,,,
1.0802,1.181501865386963,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,1.4366406202316284,0.5230537109458209,16.948,338.861,42.365,,,,,
1.0828,4.806000709533691,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,1.427491545677185,0.5308363506682882,16.8564,340.701,42.595,,,,,
1.0593,0.8612769246101379,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,1.3821583986282349,0.5393756695480433,17.053,336.774,42.104,,,,,
1.0511,8.258992195129395,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,1.5232393741607666,0.5447736810899689,17.0735,336.369,42.053,,,,,
1.0553,1.6440609693527222,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,1.6443833112716675,0.5512785183404947,16.8706,340.414,42.559,,,,,
1.0473,4.748820781707764,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,1.4095332622528076,0.5559334873174047,16.856,340.71,42.596,,,,,
1.0298,6.300489902496338,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,1.2814592123031616,0.5595855017916627,16.9622,338.577,42.329,,,,,
1.0176,3.490333080291748,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,1.6226166486740112,0.5650548710111837,16.8459,340.915,42.622,,,,,
1.0107,3.998598575592041,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,1.3176562786102295,0.5693373156376275,16.976,338.302,42.295,,,,,
1.0073,11.127249717712402,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,1.2976263761520386,0.5725426848188006,16.9519,338.783,42.355,,,,,
0.9968,1.1727553606033325,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,1.3641595840454102,0.5747192280108089,17.037,337.09,42.144,,,,,
0.9908,1.8913027048110962,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,1.3017892837524414,0.5765619153631535,16.8232,341.373,42.679,,,,,
0.9888,9.913020133972168,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,1.2830718755722046,0.5779267825763347,16.8099,341.643,42.713,,,,,
0.979,1.224669098854065,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,1.2892212867736816,0.5783995865297279,16.9703,338.414,42.309,,,,,
,,,20.0,7480,,,,,,548.0188,109.12,13.649,718646638975200.0,1.0650341258329503
