,Epoch,Training Loss,Validation Loss,Spearmanr
0,1,1.2151945104653186,1.5883923799297603,0.356465
1,2,1.004258654613227,1.257214104014768,0.586016
2,3,0.6597744807262312,0.7849439269964243,0.842904
3,4,0.427020249041644,0.5720051941033816,0.865085
4,5,0.29363645436391633,0.5003300448853657,0.869569
5,6,0.20943070705581635,0.44181295457713743,0.877905
6,7,0.15875285670888375,0.504895890165966,0.871755
7,8,0.13894692636568118,0.5005305719287537,0.874408
8,9,0.11193933627284307,0.4405751284824757,0.879866
9,10,0.1009189688232055,0.4873114122304168,0.871804
