loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2304,8.64441204071045,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.7389155626296997,0.5483798410088769,191.0924,30.054,3.757,,,,,
1.1731,0.9427164793014526,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.4571257829666138,0.5423951259095691,190.6333,30.126,3.766,,,,,
1.147,1.3948322534561157,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,1.497288465499878,0.5397932874403993,190.4625,30.153,3.77,,,,,
1.0921,7.090334415435791,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,1.6504443883895874,0.5436031275588344,190.6498,30.123,3.766,,,,,
1.0977,1.3671653270721436,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,1.346028447151184,0.5409292758505209,190.4511,30.155,3.77,,,,,
1.0677,7.707282066345215,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,1.4088845252990723,0.5496455824641017,190.4206,30.16,3.771,,,,,
1.044,2.8494157791137695,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,1.2803845405578613,0.5524339083958396,190.7044,30.115,3.765,,,,,
1.0569,11.425395011901855,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,1.463355541229248,0.5572042865197099,190.5474,30.139,3.768,,,,,
1.0335,7.223026752471924,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,1.739698052406311,0.5582984091332067,190.6597,30.122,3.766,,,,,
1.0226,12.334271430969238,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,1.2807315587997437,0.5618174239553777,190.5517,30.139,3.768,,,,,
1.0014,0.9193769693374634,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,1.328579306602478,0.5645207805148987,190.5378,30.141,3.768,,,,,
0.9915,7.8137736320495605,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,1.3594080209732056,0.5702151117730457,190.7166,30.113,3.765,,,,,
0.9744,4.255773544311523,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,1.2443854808807373,0.5700157137884378,190.829,30.095,3.763,,,,,
0.968,6.317352771759033,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,1.4662748575210571,0.5786036834735256,190.6709,30.12,3.766,,,,,
0.9661,4.497642517089844,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,1.219902515411377,0.5845294449987689,190.7095,30.114,3.765,,,,,
0.955,15.736921310424805,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,1.2409863471984863,0.593323592650241,190.5448,30.14,3.768,,,,,
0.9506,2.5382232666015625,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,1.2157821655273438,0.5936706947329027,190.616,30.129,3.767,,,,,
0.9381,1.6442195177078247,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,1.1906507015228271,0.5967301940351497,190.6063,30.13,3.767,,,,,
0.9328,14.3764066696167,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,1.200259804725647,0.5973988504989833,190.6943,30.116,3.765,,,,,
0.9228,3.6561331748962402,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,1.1984463930130005,0.5979922004004218,190.4267,30.159,3.77,,,,,
,,,20.0,7480,,,,,,6062.5082,9.864,1.234,1.41896798322552e+16,1.0282772778189757
