,Epoch,Training Loss,Validation Loss,Spearmanr
0,1,1.2182214472462787,1.5919278214029282,0.464195
1,2,1.148288712224221,1.5285291098328022,0.504004
2,3,1.0900081981790257,1.4936634168485412,0.536306
3,4,1.0339626291378297,1.4037714572753082,0.571367
4,5,0.9897370112731176,1.3197928352857367,0.594309
5,6,0.956466123680858,1.2593303383911718,0.610462
6,7,0.9320396058619979,1.2182753482797186,0.62365
7,8,0.9138084001400891,1.1829798247634036,0.637126
8,9,0.8994010332473777,1.1586967741546526,0.646585
9,10,0.8877284955731369,1.1412925769193591,0.653796
