loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.267,4.271291732788086,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.647357702255249,0.3244938271004248,196.0261,29.297,3.663,,,,,
1.0141,1.4899494647979736,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.0486358404159546,0.7882440703857938,197.8336,29.029,3.629,,,,,
0.7015,4.66661262512207,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,0.8486501574516296,0.8156872781751456,198.5419,28.926,3.616,,,,,
0.6184,2.3591971397399902,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,0.8427825570106506,0.7975581534608905,197.2929,29.109,3.639,,,,,
0.5804,3.11264705657959,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,1.185992956161499,0.5305156987823282,199.8583,28.735,3.593,,,,,
0.5536,1.1117888689041138,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,0.7491120100021362,0.8238717101366366,198.2783,28.964,3.621,,,,,
0.4639,3.834315061569214,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,0.7397528290748596,0.8333110806938813,198.0038,29.004,3.626,,,,,
0.4134,2.892425775527954,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,0.6409611105918884,0.8365095287025751,197.8273,29.03,3.629,,,,,
0.3466,7.128730773925781,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,0.5827688574790955,0.8448314459941239,197.4854,29.081,3.636,,,,,
0.3254,3.863093376159668,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,0.5145655274391174,0.8637767261061089,197.326,29.104,3.639,,,,,
0.2837,4.150731086730957,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,0.6463498473167419,0.8480952939666256,197.6573,29.055,3.633,,,,,
0.2541,2.7288706302642822,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,0.5364396572113037,0.8549569757879187,197.4875,29.08,3.636,,,,,
0.2046,3.58833909034729,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,0.5186530947685242,0.848415952466646,196.7736,29.186,3.649,,,,,
0.1838,4.141946315765381,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,0.5099241137504578,0.8584523749700912,197.8358,29.029,3.629,,,,,
0.1487,1.0966304540634155,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,0.4663710296154022,0.8670533778540392,197.378,29.096,3.638,,,,,
0.124,10.265395164489746,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,0.5173893570899963,0.8619178279127826,197.4656,29.084,3.636,,,,,
0.1022,6.2947540283203125,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,0.47332409024238586,0.8625536874066039,197.8239,29.031,3.629,,,,,
0.0814,1.3664058446884155,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,0.44809895753860474,0.8644237748407785,197.5559,29.07,3.634,,,,,
0.0652,5.392408847808838,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,0.44470760226249695,0.8639879896523002,197.8797,29.023,3.628,,,,,
0.0529,1.2513792514801025,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,0.4513980448246002,0.8631120989196479,197.8823,29.022,3.628,,,,,
,,,20.0,7480,,,,,,11547.1111,5.179,0.648,1.41896798322552e+16,0.3892537726437982
